global_ids,types,X,Y,Z,areas,ax1s,ax2s,gyrations,volumes,Rand,Rank,Train
3LbNSBzHHBSuzhUUvuwBBW,IfcWallStandardCase,0.467,0.827,4.1495,7.396524,11.18682258,0.297538369,0.196726968,0.661181846,0.657859826849419,448,2
0tIhQ6hmz02e5gznEed5e9,IfcWallStandardCase,0.776,0.254,4.668,5.691888,40.95688683,1.20171819,0.167005988,0.138972672,0.657763932205301,449,2
3Egy$LBd99weR14rW4bgCx,IfcWallStandardCase,5.844003082,0.254,4.778,52.78046855,37.82826745,1.167776431,1.62935792,1.39526529,0.654780628490173,450,2
1qc5HjZvrCsga38tqxQ3EV,IfcWallStandardCase,5.546,0.254,4.668,48.831768,37.8587761,1.196532797,1.543335997,1.289840112,0.654206998087726,451,2
3LbNSBzHHBSuzhUUvuwFzQ,IfcWallStandardCase,12.40599915,0.324,4.668,99.70400822,17.20808968,0.615683074,3.567279775,5.794019563,0.654047932012368,452,2
3Egy$LBd99weR14rW4bglf,IfcWallStandardCase,0.324,1.9145,4.778,17.258502,17.73242511,0.509852787,0.49622628,0.973273644,0.653923589580198,453,2
2d8HbdSu9Fr9Na0iagzLFW,IfcWallStandardCase,0.254,0.560000085,4.88,3.913920806,43.01994171,1.155051691,0.105085704,0.090979222,0.653157793869092,454,2
0tIhQ6hmz02e5gznEed5AO,IfcWallStandardCase,0.361,0.254,3.2,1.307388,50.12606395,1.879505172,0.049021254,0.026082,0.653039141478371,455,2
3Egy$LBd99weR14rW4brt4,IfcWallStandardCase,0.324,2.799,4.668,24.97728,17.34618657,0.521636845,0.751120108,1.439929168,0.652875715077735,456,2
0iEHWY1$XA8eQeeULq4j_U,IfcWallStandardCase,0.352,2.343,3.3,14.880472,14.73632714,0.614177349,0.620184986,1.0097816,0.65127616345116,457,2
3Egy$LBd99weR14rW4bezE,IfcWallStandardCase,0.254,0.640637115,3.5665,3.377980501,42.17000815,1.599830487,0.1281526,0.080103862,0.651202504721516,458,2
2J3mxCVB1CywqSnAiJ4tFy,IfcWallStandardCase,0.3,2.16664344,2.58,6.584916805,24.78581424,2.360743708,0.627185404,0.265672805,0.649850119645992,459,2
3Egy$LBd99weR14rW4btcE,IfcWallStandardCase,0.324,3.52456129,4.778,32.39951837,17.16748739,0.50887812,0.960385503,1.887260356,0.648496305769486,460,2
2d8HbdSu9Fr9Na0iagzM3Q,IfcWallStandardCase,0.254,1.176,4.778,9.536088,39.52308936,1.16950892,0.28217784,0.241278912,0.648419255936057,461,2
3Egy$LBd99weR14rW4bggK,IfcWallStandardCase,2.034,0.324,4.778,15.006292,18.78165177,0.711838392,0.568749484,0.798986808,0.646897368648865,462,2
2d8HbdSu9Fr9Na0iagzNfW,IfcWallStandardCase,0.606,0.254,4.778,4.255608,42.40001741,1.178006396,0.118234231,0.100368072,0.645717998062885,463,2
3LbNSBzHHBSuzhUUvuwBLq,IfcWallStandardCase,0.467,6.517,5.227,69.568814,8.205094289,0.215266681,1.825188986,8.478734253,0.645446043013851,464,2
3Egy$LBd99weR14rW4bqee,IfcWallStandardCase,2.556,0.324,4.668,22.745568,17.42555627,0.521765322,0.681059958,1.305299392,0.645190983201743,465,2
2$JMvrgrHFRuiT5gJ_sd8v,IfcWallStandardCase,18.736,0.467,3.6,86.32881318,10.07459068,0.636159506,5.451228433,8.568964824,0.645033800935557,466,2
2d8HbdSu9Fr9Na0iagzex9,IfcWallStandardCase,0.254,0.606,4.778,4.255608,42.40001741,1.178006396,0.118234231,0.100368072,0.643983033635337,467,2
2d8HbdSu9Fr9Na0iagzNaJ,IfcWallStandardCase,0.254,0.461,4.778,2.912328,45.13674428,1.192453981,0.076939912,0.064522332,0.6432135022629,468,2
3Egy$LBd99weR14rW4br0g,IfcWallStandardCase,0.467,6.233,4.668,53.987094,8.772099305,0.300924209,1.852010903,6.154409808,0.642445986812658,469,2
2_TmT90dD0x8tJSTjyTbNo,IfcWallStandardCase,4.737,0.324,2.168,19.470872,17.58611235,1.183381405,1.310208158,1.107173184,0.641475440724795,470,2
2_TmT90dD0x8tJSTjyTbM8,IfcWallStandardCase,1.893,0.324,2.268,7.934976,18.27748515,1.128753035,0.490036138,0.434139376,0.641448510382189,471,2
3Egy$LBd99weR14rW4betD,IfcWallStandardCase,0.324,2.124,4.778,14.66667763,18.88704734,0.664786046,0.516237528,0.776546877,0.641408187215978,472,2
3NhaIUfh12PAdrGa$S3y$J,IfcWallStandardCase,0.324,6.709,4.778,62.34598,16.87317112,0.508616795,1.879327384,3.694977048,0.641149400321999,473,2
2d8HbdSu9Fr9Na0iagzMgr,IfcWallStandardCase,0.947,0.254,4.88,7.578036,40.14176364,1.145253323,0.21620303,0.18878184,0.64113402935661,474,2
3Egy$LBd99weR14rW4brbh,IfcWallStandardCase,4.350151139,0.368,4.668,39.98144936,12.83429964,0.384895179,1.199026636,3.115203048,0.640678601318731,475,2
3Egy$LBd99weR14rW4bsHk,IfcWallStandardCase,0.86,0.324,4.778,7.341984,19.59620728,0.517421753,0.193859055,0.37466352,0.640590478645173,476,2
2j55VthSj3Lu0J6fyrpHaa,IfcWallStandardCase,0.254,7.681759694,4.778,69.80544581,37.74122583,1.1677534,2.159854241,1.849580777,0.639386241728706,477,2
1w9BeUOAz6gvImlsobeD_w,IfcWallStandardCase,7.675,0.4,2.58,38.28533131,11.46988565,0.641100991,2.139930998,3.3379,0.638868935507508,478,2
0tIhQ6hmz02e5gznEed546,IfcWallStandardCase,0.254,1.031998071,2.7,4.519846148,40.24088876,2.142833495,0.2406825,0.11231974,0.638346441050421,479,2
3Egy$LBd99weR14rW4bftm,IfcWallStandardCase,2.6832,0.324,4.778,24.4873568,17.37131663,0.509158149,0.717731277,1.40964311,0.637858216191438,480,2
3pms57Ad5AVAb74jf4yKp9,IfcWallStandardCase,0.552,0.254,4.668,3.666032,43.16648279,1.210468978,0.102802399,0.084927744,0.637825754840412,481,2
2g$QZpOGbBUxSNx_ZgxJQB,IfcWallStandardCase,0.467,5.200513712,1.105,12.20447414,10.10054036,1.196376123,1.445580229,1.208299131,0.636661440240344,482,2
3Egy$LBd99weR14rW4berU,IfcWallStandardCase,0.324,3.511169945,4.778,30.01994806,17.25350904,0.532849027,0.927121555,1.739932902,0.635594796603948,483,2
3Egy$LBd99weR14rW4begU,IfcWallStandardCase,1.91,0.324,4.778,13.840196,18.99572037,0.704619955,0.513382914,0.72859548,0.634925087646334,484,2
1uDBQ9y7vCyxXlpVEuen52,IfcWallStandardCase,0.254,1.016,4.668,7.862448,39.935645,1.199088768,0.236074141,0.196877952,0.634859694569534,485,2
2O2Fr$t4X7Zf8NOew3FNld,IfcWallStandardCase,0.324,3.783,2.995,21.610714,17.40278722,0.833423615,1.034942229,1.24179614,0.633696778048194,486,2
3Egy$LBd99weR14rW4bng5,IfcWallStandardCase,0.324,4.122,4.668,37.127712,17.08660374,0.521304508,1.132749605,2.172913504,0.632898978193831,487,2
0tIhQ6hmz02e5gznEed4ap,IfcWallStandardCase,0.361,0.254,3.2,1.307388,50.12606395,1.879505172,0.049021254,0.026082,0.6325792765319,488,2
0tIhQ6hmz02e5gznEed4ns,IfcWallStandardCase,0.254,0.606,3.2,2.803848,42.62981208,1.797637761,0.118234231,0.065772,0.630634130716795,489,2
3Egy$LBd99weR14rW4bpcU,IfcWallStandardCase,0.543,0.254,4.668,3.584636,43.3155684,1.211208634,0.10023514,0.082756296,0.630075227864322,490,2
3NhaIUfh12PAdrGa$S3y_H,IfcWallStandardCase,13.887,0.324,4.778,129.847892,16.71202831,0.508545395,3.951258713,7.769726664,0.629778585630397,491,2
2d8HbdSu9Fr9Na0iagzeiO,IfcWallStandardCase,1.556,0.254,4.778,13.056408,38.94883529,1.168648548,0.391753749,0.335219472,0.628987147227111,492,2
3Egy$LBd99weR14rW4boo7,IfcWallStandardCase,3.162,0.324,4.668,28.311072,17.25187928,0.521500535,0.85580469,1.641042784,0.628446273635723,493,2
3Egy$LBd99weR14rW4bt8q,IfcWallStandardCase,0.324,0.548999853,4.778,4.417338621,22.29656569,0.539668597,0.106917763,0.198117445,0.628054895174908,494,2
0tIhQ6hmz02e5gznEed5ho,IfcWallStandardCase,0.722,0.254,4.668,5.203512,41.31608224,1.202856772,0.151492574,0.125943984,0.626318730739405,495,2
3Egy$LBd99weR14rW4be20,IfcWallStandardCase,0.579,0.254,4.778,4.00548,42.75095389,1.179516178,0.11051282,0.093693348,0.626190423148248,496,2
1uDBQ9y7vCyxXlpVEuen04,IfcWallStandardCase,0.254,0.506,4.668,3.250008,44.02061232,1.214959114,0.089699498,0.073829232,0.625374267078376,497,2
0tIhQ6hmz02e5gznEed4eG,IfcWallStandardCase,0.271873867,0.254,3,0.712656034,65.57784828,2.38804244,0.025951642,0.010867329,0.625078874943477,498,2
3LbNSBzHHBSuzhUUvuwC91,IfcWallStandardCase,5.826,0.324,4.668,46.025272,17.48191192,0.653378252,1.720172937,2.632736752,0.624388523138509,499,2
2j55VthSj3Lu0J6fyrpHPO,IfcWallStandardCase,1.964,0.254,0.7,2.008512,42.17082389,10.69668011,0.50946148,0.047628,0.623766058870684,500,2
3Egy$LBd99weR14rW4bm4S,IfcWallStandardCase,2.066,0.254,4.668,17.358648,38.55647597,1.196972654,0.53889331,0.450213552,0.62283291754639,501,2
3Egy$LBd99weR14rW4bnId,IfcWallStandardCase,3.556,0.324,4.668,31.929568,17.17260739,0.5213997,0.96945483,1.859331392,0.61982560390704,502,2
0jf0rYHfX3RAB3bSIRjmpw,IfcWallStandardCase,0.617,17.583,0.809,36.177822,8.195290258,1.137053646,5.019483523,4.414464999,0.619327573184084,503,2
0iEHWY1$XA8eQeeULq4jpl,IfcWallStandardCase,1.656,0.324,2.995,9.193288,18.21822214,0.835940131,0.42183251,0.50462048,0.61864152718479,504,2
3pms57Ad5AVAb74jf4yKeD,IfcWallStandardCase,0.254,0.356,4.668,1.893408,50.30517743,1.266126342,0.04765501,0.037638432,0.618366130202155,505,2
2O2Fr$t4X7Zf8NOew3FLQD,IfcWallStandardCase,9,0.617,3.1,50.10080892,7.653654752,0.334191548,2.187617212,6.545998029,0.617737684756172,506,2
3LbNSBzHHBSuzhUUvuwDal,IfcWallStandardCase,6.142,0.324,4.668,55.679392,16.91324684,0.521157596,1.715681109,3.292058144,0.614429105953546,507,2
