global_ids,types,X,Y,Z,areas,gyrations,volumes,ax1s,ax2s
2wHyf6ACrC8hG4R5w2$_8m,IfcSlab,3.11,1.805919926,0.440660766,10.69167965,0.958884744,0.700253053,15.26830851,1.369340326
35QeWibpT4DfyH3NIf2nHB,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2mTr,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2oil,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1hZeF0nAz4JBDqRWYr$yqv,IfcSlab,3.11,1.805433716,0.428707972,10.68808128,0.958894286,0.700008674,15.26849833,1.369832005
2S7INY8Q12AeF7WgGL29F9,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018
35QeWibpT4DfyH3NIf2olL,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2mJK,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1byTDaqS91rBnWJlv$nn0o,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1byTDaqS91rBnWJlv$n$0$,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2nG0,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0otfaO0qPDAhynjJ6DmgTb,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
1byTDaqS91rBnWJlv$n$TS,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1byTDaqS91rBnWJlv$n__m,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0otfaO0qPDAhynjJ6DmgFZ,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
0otfaO0qPDAhynjJ6Dmg87,IfcWindow,1.2,0.467,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
1byTDaqS91rBnWJlv$nmXk,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2n5C,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2nXy,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2nSp,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
2dfMMV62T2AedyzVxppix_,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187
2g$QZpOGbBUxSNx_ZgxJps,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
1byTDaqS91rBnWJlv$n$lh,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
1byTDaqS91rBnWJlv$n$t9,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0dhzZG9wrB2BUeQLFnE0WM,IfcSlab,7.675,7.38,0.45,114.6685,2.992045357,13.417625,8.54611006,0.222993664
1l0GAJtRTFv8$zmKJOH4kJ,IfcWindow,0.617,1.019,0.959,4.249626,0.330818335,0.04872698,87.21299781,6.78922304
2O2Fr$t4X7Zf8NOew3FK4F,IfcSlab,8.166,9.508,0.327,133.947452,3.373478595,8.227050856,16.28134484,0.41004713
0hFBTMiZjBl8oFeMbWoLKT,IfcWindow,1.21,0.32,2.72,7.4454,0.384804697,0.076102,97.8344853,5.056433428
1byTDaqS91rBnWJlv$nmAj,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
35QeWibpT4DfyH3NIf2nCI,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
3wXp5YXGP6tfEj9QG9WwCj,IfcWindow,0.95,0.32,1.18,2.565,0.273392998,0.031,82.74193548,8.819128958
1byTDaqS91rBnWJlv$n$sW,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
0otfaO0qPDAhynjJ6Dmg4K,IfcWindow,1.2,0.467,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
1LqCWLMwn5ChxXeBbnR8qY,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187
2g$QZpOGbBUxSNx_ZgxJqZ,IfcWindow,0.467,1.2,1.935,7.183156,0.391513745,0.068159298,105.3877638,5.744098845
1byTDaqS91rBnWJlv$n$m2,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911
3iASXWe9TFARlA$oNumLVa,IfcSlab,7.675,7.38,0.45,114.6685,2.992045357,13.417625,8.54611006,0.222993664
1qc5HjZvrCsga38tqxQ3VC,IfcDoor,0.374,2.082,2.41,10.487636,0.543419321,0.21165282,49.55112812,2.567503333
