global_ids,types,X,Y,Z,areas,gyrations,volumes,ax1s,ax2s,Rand,Rank,Train
0tIhQ6hmz02e5gznEed4FD,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.588415651222068,147,2
2A1S0hQELFH8rlG8n1eOG0,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.584733571648487,148,2
3Co16NYaj2FwiubABqwXUv,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.584393951566372,149,2
1byTDaqS91rBnWJlv$nmXk,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.58333025954053,150,2
3FspznBtDEHvzdw0svPIBE,IfcDoor,2.19,0.32,2.72,13.7388,0.622670396,0.29182,47.07970667,2.133748187,0.580441003169078,151,2
1byTDaqS91rBnWJlv$n$7g,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.57725589614846,152,2
1byTDaqS91rBnWJlv$n_s5,IfcDoor,0.517,1.267,2.41,6.379158,0.316067497,0.11985611,53.22346938,2.637057858,0.574866227689252,153,2
1byTDaqS91rBnWJlv$n$OE,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.57398783532756,154,2
1hOSvn6df7F8_7GcBWlS9F,IfcDoor,0.374,1.114,2.308,5.400468,0.265980739,0.097883984,55.17213112,2.717306024,0.573986678278448,155,2
35QeWibpT4DfyH3NIf2mHI,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.566251666724315,156,2
35QeWibpT4DfyH3NIf2ncB,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.560982111550685,157,2
1byTDaqS91rBnWJlv$nmwJ,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.560878290378777,158,2
35QeWibpT4DfyH3NIf2obk,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.560450976710042,159,2
35QeWibpT4DfyH3NIf2no0,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.559186470949578,160,2
1byTDaqS91rBnWJlv$n$9Q,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.558175453187865,161,2
1byTDaqS91rBnWJlv$nnNu,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.557895443306722,162,2
1hOSvn6df7F8_7GcBWlRH8,IfcDoor,0.667,1.602,2.286,7.555608,0.417359088,0.1487411,50.79704265,2.80594327,0.549249331985882,163,2
0ClPCUC7jCQRnj1dhupHk0,IfcDoor,1.065,0.225,1.7,2.71325,0.24980826,0.0324375,83.64547206,7.701218029,0.546280186236972,164,2
3qpE7fVkr8dRZ2wfCc6tWA,IfcDoor,0.225,1.065,1.7,2.71325,0.24980826,0.0324375,83.64547206,7.701218029,0.543818523562,165,2
1byTDaqS91rBnWJlv$n$Wu,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.54185865591413,166,2
3mC3xuqmjB0gbMnebRM4yv,IfcDoor,1.085,0.32,2.72,7.3259,0.290914046,0.14596,50.19114826,1.993108018,0.529442895903467,167,2
1byTDaqS91rBnWJlv$nn9n,IfcDoor,1.267,0.374,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.524747542668439,168,2
1byTDaqS91rBnWJlv$n$cb,IfcDoor,0.374,1.267,2.41,6.379158,0.309483447,0.11985611,53.22346938,2.582124911,0.519194996523364,169,2
