X,Y,Z,areas,ax1s,ax2s,global_ids,gyrations,types,volumes,Train
15.4095,0.467,2.744328166,62.32657831,8.834452071,0.642821746,2j55VthSj3Lu0J6fyrpG7s,4.535072418,IfcWallStandardCase,7.054945549,train
0.254,0.606,4.668,4.154408,42.41077299,1.207008344,3pms57Ad5AVAb74jf4yKob,0.118234231,IfcWallStandardCase,0.097956432,train
1.805975,0.384,4.668,16.5862154,12.56254219,0.353435595,3Egy$LBd99weR14rW4bp_M,0.466637949,IfcWallStandardCase,1.320291319,train
0.324,4.12505951,4.778,34.96585698,17.93227647,0.59355757,197mqEVor8ZRDjVbXCppnN,1.157368343,IfcWallStandardCase,1.949883889,train
0.606,0.254,4.88,4.349448,42.39049584,1.152331898,2d8HbdSu9Fr9Na0iagzLE6,0.118234231,IfcWallStandardCase,0.10260432,train
0.816,0.254,4.778,6.201048,40.72066228,1.17220119,2d8HbdSu9Fr9Na0iagzNap,0.178505836,IfcWallStandardCase,0.152282592,train
0.543,0.254,4.668,3.584636,43.3155684,1.211208634,0tIhQ6hmz02e5gznEedAhk,0.10023514,IfcWallStandardCase,0.082756296,train
0.254,0.643,4.778,4.598376,41.98858172,1.176366404,2d8HbdSu9Fr9Na0iagzMFt,0.128829668,IfcWallStandardCase,0.109514916,train
0.606,0.254,4.668,4.154408,42.41077299,1.207008344,3pms57Ad5AVAb74jf4yKo0,0.118234231,IfcWallStandardCase,0.097956432,train
0.606,0.254,4.668,4.154408,42.41077299,1.207008344,3Egy$LBd99weR14rW4bnvV,0.118234231,IfcWallStandardCase,0.097956432,train
1.893,0.324,2.268,7.934976,18.27748515,1.128753035,2_TmT90dD0x8tJSTjyTbM8,0.490036138,IfcWallStandardCase,0.434139376,train
2.826,0.324,4.668,25.225248,17.33827445,0.521624726,3Egy$LBd99weR14rW4borw,0.758905572,IfcWallStandardCase,1.454888032,train
0.489,0.254,4.88,3.241692,44.38480269,1.162041836,2d8HbdSu9Fr9Na0iagzMWk,0.084870981,IfcWallStandardCase,0.07303608,train
0.489,0.254,4.778,3.17172,44.39432426,1.187932677,2d8HbdSu9Fr9Na0iagzebo,0.084870981,IfcWallStandardCase,0.071444268,train
0.324,3.632,4.778,33.409872,17.14865484,0.508856335,3NhaIUfh12PAdrGa$S3xkv,0.99137951,IfcWallStandardCase,1.948250304,train
0.254,0.66,3.2,3.13368,42.05152979,1.794181506,0tIhQ6hmz02e5gznEed4qr,0.133702406,IfcWallStandardCase,0.07452,train
0.324,2.1834,4.778,16.4112496,18.56902604,0.676052052,3Egy$LBd99weR14rW4bgbX,0.597492779,IfcWallStandardCase,0.883797005,train
0.368,2.862,4.668,26.47855335,13.49554193,0.393564574,3Egy$LBd99weR14rW4bnDZ,0.772182444,IfcWallStandardCase,1.962022235,train
7.675,0.35,2.8,32.28718658,15.50129705,1.098405265,2wMrEQnZj0tx6ZcpbcsFGz,2.287835375,IfcWallStandardCase,2.08287,train
0.324,0.548999853,4.778,4.417338621,22.29656569,0.539668597,3Egy$LBd99weR14rW4bt8q,0.106917763,IfcWallStandardCase,0.198117445,train
18.506,0.324,4.668,152.350428,17.05766908,0.604840547,3Egy$LBd99weR14rW4bmzE,5.402128259,IfcWallStandardCase,8.931491592,train
1.819,0.324,3.1,10.510912,18.05401788,0.805118453,2O2Fr$t4X7Zf8NOew3FLKI,0.468733844,IfcWallStandardCase,0.5821924,train
2.165,0.324,3.1,9.59616,19.62751508,1.135157961,2O2Fr$t4X7Zf8NOew3FLJd,0.55499422,IfcWallStandardCase,0.488913648,train
0.467,20.3,5.337,201.7789487,8.350570687,0.234414508,3LbNSBzHHBSuzhUUvuwAYU,5.664273107,IfcWallStandardCase,24.16349209,train
0.324,2.929,4.668,26.1712,17.30952901,0.521581751,3Egy$LBd99weR14rW4bqvO,0.788607264,IfcWallStandardCase,1.511953328,train
0.254,0.482451851,4.668,3.037038536,44.56551749,1.218141614,0tIhQ6hmz02e5gznEed5yE,0.083013577,IfcWallStandardCase,0.068147723,train
0.324,4.122,4.668,37.127712,17.08660374,0.521304508,3LbNSBzHHBSuzhUUvuwFxs,1.132749605,IfcWallStandardCase,2.172913504,train
1.2745,0.254,4.778,10.448592,39.33523989,1.16919669,0UkNSLJf55phwJDF$vXKDq,0.310572891,IfcWallStandardCase,0.265629294,train
0.254,0.606,2.7,2.343848,42.76314541,2.157165313,0tIhQ6hmz02e5gznEedAdA,0.118234231,IfcWallStandardCase,0.05481,train
3.009,0.324,4.778,27.55118,17.27790141,0.50901976,3Egy$LBd99weR14rW4bemN,0.811678148,IfcWallStandardCase,1.594590648,train
6.142,0.324,4.668,55.679392,16.91324684,0.521157596,3LbNSBzHHBSuzhUUvuwDal,1.715681109,IfcWallStandardCase,3.292058144,train
5.95,0.375,2.8,28.127,13.04168405,0.844732676,33Mpin_v5ALuIadSCoVpiL,1.821834962,IfcWallStandardCase,2.1567,train
1.431,0.254,4.668,11.615708,39.10935998,1.197622389,1uDBQ9y7vCyxXlpVEuenHM,0.355700834,IfcWallStandardCase,0.297005832,train
1.91,0.324,4.668,13.436716,19.05184599,0.728311291,0ztdC3L1HAzhbhMHypqcD5,0.513656891,IfcWallStandardCase,0.70527108,train
0.324,1.620548149,1.85,5.449304834,18.74906069,1.416289542,0GqcYYjeX4e8lXEYRY1v6V,0.411636272,IfcWallStandardCase,0.290644151,train
0.254,0.606,4.778,4.255608,42.40001741,1.178006396,2d8HbdSu9Fr9Na0iagzexB,0.118234231,IfcWallStandardCase,0.100368072,train
0.324,0.444759694,4.778,3.437064163,24.73718428,0.570061024,2d8HbdSu9Fr9Na0iagzNyk,0.079206117,IfcWallStandardCase,0.138943225,train
0.554,0.324,4.668,4.3592,22.22637735,0.552085025,3Egy$LBd99weR14rW4brrF,0.108278961,IfcWallStandardCase,0.196127328,train
0.606,0.254,4.668,4.154408,42.41077299,1.207008344,1qc5HjZvrCsga38tqxQ30a,0.118234231,IfcWallStandardCase,0.097956432,train
2.868000143,0.324,4.668,25.61097731,17.32628498,0.521606601,3LbNSBzHHBSuzhUUvuwDT4,0.771016686,IfcWallStandardCase,1.478157455,train
